 2600           1
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
1800.0     1.36290     0.20248 8.66125E-01         371.494         272.575
2000.0     2.08624     0.20064 9.13792E-01         569.969         273.203
 
 6400          20
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
 ==================================================
 200.0     0.41729     0.36712 1.65680E-06          90.262         216.305
 220.0     0.54434     0.36325 3.73017E-06         118.465         217.629
 240.0     0.69528     0.35502 3.96908E-06         153.268         220.441
 260.0     0.84031     0.33945 7.50795E-06         189.710         225.763
 280.0     0.97154     0.31720 1.45593E-05         226.724         233.366
 300.0     1.03254     0.28657 1.90819E-05         251.768         243.835
 320.0     1.03655     0.25369 1.14061E-04         264.394         255.072
 340.0     1.03054     0.22970 1.99708E-03         271.313         263.272
 360.0     1.01808     0.21211 7.47152E-02         274.154         269.286
 380.0     1.01420     0.20235 2.89513E-01         276.493         272.621
 400.0     1.01744     0.20084 5.08837E-01         277.899         273.136
 420.0     1.02636     0.20531 6.70553E-01         278.767         271.607
 440.0     1.03698     0.21203 7.78154E-01         279.272         269.312
 460.0     1.04785     0.21932 8.49676E-01         279.585         266.819
 480.0     1.05708     0.22547 8.91268E-01         279.828         264.718
 500.0     1.06326     0.22957 9.18847E-01         279.975         263.317
 520.0     1.06760     0.23233 9.40632E-01         280.109         262.373
 540.0     1.06968     0.23362 9.54886E-01         280.183         261.931
 600.0     1.07353     0.23552 9.69314E-01         280.497         261.284
 720.0     1.07407     0.23562 9.64714E-01         280.601         261.250
 850.0     1.07373     0.23607 9.50983E-01         280.345         261.094
1060.0     1.07083     0.23418 9.31156E-01         280.283         261.743
1200.0     1.06750     0.23141 9.14777E-01         280.420         262.690
1400.0     1.07594     0.22767 8.91991E-01         284.013         263.967
1500.0     1.09641     0.22618 8.60395E-01         289.972         264.475
1600.0     1.14324     0.22392 9.47634E-01         303.241         265.247
1800.0     1.39552     0.22112 8.66125E-01         371.494         266.205
2000.0     2.13592     0.21923 9.13792E-01         569.969         266.850
 
 6600          21
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
 ==================================================
 200.0     0.42037     0.37176 1.65680E-06          90.262         214.719
 220.0     0.54845     0.36801 3.73017E-06         118.465         216.000
 240.0     0.70107     0.36035 3.96908E-06         153.268         218.619
 260.0     0.84837     0.34572 7.50795E-06         189.710         223.619
 280.0     0.98219     0.32461 1.45593E-05         226.724         230.834
 300.0     1.04551     0.29543 1.90819E-05         251.768         240.808
 320.0     1.05096     0.26393 1.14061E-04         264.394         251.574
 340.0     1.04564     0.24083 1.99708E-03         271.313         259.469
 360.0     1.03374     0.22404 7.47152E-02         274.154         265.207
 380.0     1.03076     0.21516 2.89513E-01         276.493         268.242
 400.0     1.03532     0.21465 5.08837E-01         277.899         268.418
 420.0     1.04587     0.22014 6.70553E-01         278.767         266.541
 440.0     1.05812     0.22777 7.78154E-01         279.272         263.933
 460.0     1.07043     0.23579 8.49676E-01         279.585         261.190
 480.0     1.08080     0.24247 8.91268E-01         279.828         258.907
 500.0     1.08776     0.24692 9.18847E-01         279.975         257.387
 520.0     1.09262     0.24991 9.40632E-01         280.109         256.366
 540.0     1.09497     0.25133 9.54886E-01         280.183         255.881
 600.0     1.09924     0.25340 9.69314E-01         280.497         255.174
 720.0     1.09983     0.25352 9.64714E-01         280.601         255.131
 850.0     1.09952     0.25399 9.50983E-01         280.345         254.970
1060.0     1.09646     0.25207 9.31156E-01         280.283         255.626
1200.0     1.09292     0.24928 9.14777E-01         280.420         256.580
1400.0     1.10141     0.24553 8.91991E-01         284.013         257.864
1500.0     1.12228     0.24402 8.60395E-01         289.972         258.378
1600.0     1.17006     0.24171 9.47634E-01         303.241         259.166
1800.0     1.42801     0.23884 8.66125E-01         371.494         260.147
2000.0     2.18540     0.23691 9.13792E-01         569.969         260.807
 
 6800          22
 TGO        SEFF         PALB    FH2O              FTIR(1)         FTSO(1)
 ==================================================
 200.0     0.42333     0.37616 1.65680E-06          90.262         213.216
 220.0     0.55239     0.37252 3.73017E-06         118.465         214.459
 240.0     0.70662     0.36537 3.96908E-06         153.268         216.904
 260.0     0.85606     0.35160 7.50795E-06         189.710         221.609
 280.0     0.99236     0.33153 1.45593E-05         226.724         228.468
 300.0     1.05791     0.30369 1.90819E-05         251.768         237.986
 320.0     1.06477     0.27347 1.14061E-04         264.394         248.312
 340.0     1.06014     0.25121 1.99708E-03         271.313         255.922
 360.0     1.04879     0.23518 7.47152E-02         274.154         261.399
 380.0     1.04670     0.22711 2.89513E-01         276.493         264.156
 400.0     1.05256     0.22751 5.08837E-01         277.899         264.023
 420.0     1.06469     0.23392 6.70553E-01         278.767         261.829
 440.0     1.07852     0.24238 7.78154E-01         279.272         258.939
 460.0     1.09225     0.25106 8.49676E-01         279.585         255.972
 480.0     1.10375     0.25822 8.91268E-01         279.828         253.524
 500.0     1.11147     0.26299 9.18847E-01         279.975         251.896
 520.0     1.11684     0.26618 9.40632E-01         280.109         250.805
 540.0     1.11947     0.26771 9.54886E-01         280.183         250.281
 600.0     1.12414     0.26993 9.69314E-01         280.497         249.522
 720.0     1.12478     0.27008 9.64714E-01         280.601         249.471
 850.0     1.12451     0.27057 9.50983E-01         280.345         249.305
1060.0     1.12128     0.26863 9.31156E-01         280.283         249.968
1200.0     1.11753     0.26582 9.14777E-01         280.420         250.929
1400.0     1.12605     0.26204 8.91991E-01         284.013         252.219
1500.0     1.14732     0.26052 8.60395E-01         289.972         252.738
1600.0     1.19602     0.25817 9.47634E-01         303.241         253.542
1800.0     1.45944     0.25524 8.66125E-01         371.494         254.545
2000.0     2.23326     0.25326 9.13792E-01         569.969         255.219
 
 7000          23
